Unnamed: 0,Product Category,Product Name,Review Date,Review Text,Topic,Sentiment,Marketplace,Username
0,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Аромат и вкус средний, а заваривать удобно и быстро.",Вкус,Negative,Ozon,tasty_coffee
1,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Аромат и вкус средний, а заваривать удобно и быстро.",Вкус,Negative,Ozon,tasty_coffee
2,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Кофе вкусный,с лёгкой кислинкой, ароматный. Удобно заваривать в чашке. Рекомендую",Вкус,Positive,Ozon,tasty_coffee
3,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Кофе вкусный,с лёгкой кислинкой, ароматный. Удобно заваривать в чашке. Рекомендую",Вкус,Positive,Ozon,tasty_coffee
4,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Крепость:НормальныйВкус:НормальныйАроматность:Ароматный Кофе очень вкусный, беру второй раз. Горечи нет, кислотность низкая, не крепкий.  Заваривать очень удоб",Вкус,Positive,Ozon,tasty_coffee
5,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-06 21:00:00,"Крепость:НормальныйВкус:НормальныйАроматность:Ароматный Кофе очень вкусный, беру второй раз. Горечи нет, кислотность низкая, не крепкий.  Заваривать очень удоб",Вкус,Positive,Ozon,tasty_coffee
6,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,Крепость:НормальныйАроматность:АроматныйВкус:Насыщенный Очень вкусно с молоком,Вкус,Positive,Ozon,tasty_coffee
7,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,Крепость:НормальныйАроматность:АроматныйВкус:Насыщенный Очень вкусно с молоком,Вкус,Positive,Ozon,tasty_coffee
8,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,Крепость:КрепкийАроматность:НормальныйВкус:Насыщенный Беру 20й раз. Кофе супер! Из дрип пакетов самы крепкий!,Вкус,Positive,Ozon,tasty_coffee
9,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,Крепость:КрепкийАроматность:НормальныйВкус:Насыщенный Беру 20й раз. Кофе супер! Из дрип пакетов самы крепкий!,Вкус,Positive,Ozon,tasty_coffee
10,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,"Тести кофе лучший!!!
Покупаю в зерне и молотый, в дорогу взяла дрип пакеты, растворимый никак не заходит😊",Вкус,Positive,Ozon,tasty_coffee
11,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-05 21:00:00,"Тести кофе лучший!!!
Покупаю в зерне и молотый, в дорогу взяла дрип пакеты, растворимый никак не заходит😊",Вкус,Positive,Ozon,tasty_coffee
12,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-03 21:00:00,"Кофе отличный вкус особенно на работе, когда хочется попить свежезаваренный, самое то что над",Вкус,Positive,Ozon,tasty_coffee
13,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-03 21:00:00,"Кофе отличный вкус особенно на работе, когда хочется попить свежезаваренный, самое то что над",Вкус,Positive,Ozon,tasty_coffee
14,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-02 21:00:00,"Самый любимый кофе, просто бомбический вкус, сбалансированный, нежный. Я в восторге!",Вкус,Positive,Ozon,tasty_coffee
15,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-02 21:00:00,"Самый любимый кофе, просто бомбический вкус, сбалансированный, нежный. Я в восторге!",Вкус,Positive,Ozon,tasty_coffee
16,Кофе,"Дрип кофе Tasty Coffee Бэрри, 10 шт. по 11,5 г",2024-08-04 21:00:00,"Все пришло в срок, в целом нормально, но на мой вкус кисловат",Вкус,Negative,Ozon,tasty_coffee
